"position","gender","n"
0,"F",18859
0,"M",67249
1,"F",15746
1,"M",61127
2,"F",10983
2,"M",42123
3,"F",6176
3,"M",23097
4,"F",3005
4,"M",10851
5,"F",1410
5,"M",4926
6,"F",655
6,"M",2163
7,"F",328
7,"M",1128
8,"F",148
8,"M",581
9,"F",94
9,"M",333
10,"F",63
10,"M",208
11,"F",48
11,"M",130
12,"F",23
12,"M",108
13,"F",26
13,"M",74
14,"F",13
14,"M",65
15,"F",9
15,"M",42
16,"F",5
16,"M",36
17,"F",6
17,"M",30
18,"F",5
18,"M",22
19,"F",4
19,"M",18
20,"F",8
20,"M",11
21,"F",2
21,"M",12
22,"F",3
22,"M",9
23,"F",2
23,"M",9
24,"F",2
24,"M",8
25,"F",2
25,"M",6
26,"F",1
26,"M",7
27,"M",6
28,"F",2
28,"M",3
29,"M",5
30,"F",1
30,"M",2
31,"F",1
31,"M",2
32,"F",1
32,"M",2
33,"M",3
34,"F",1
34,"M",1
35,"M",2
36,"M",1
